3.01273e-28

Initial statistics: 625 variables; iteration 0; function evaluation 0
Function value   3.9769573e+01; maximum gradient component mag  -5.9319e+01
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
 70 -3.33657  7.87015e-04 | 71  0.66206 -3.17565e-04 | 72 -0.10456 -7.83989e-04
 73  0.54773  7.93206e-04 | 74 -1.04682 -6.98282e-04 | 75  1.44773  7.10129e-04
 76 -0.09363 -8.25585e-05 | 77  0.90231  2.00593e-04 | 78  0.78158 -2.95044e-04
 79 -0.41969 -4.68158e-04 | 80  0.67182  2.86663e-04 | 81 -2.14420  2.98690e-04
 82  2.05470  5.51744e-04 | 83  0.29278  7.10605e-05 | 84 -3.94569  9.50863e-04
 85  1.96379  1.68125e-04 | 86  0.96419 -2.95745e-04 | 87 -0.71510 -4.74945e-04
 88 -0.44837 -2.84915e-04 | 89  0.60041 -5.09924e-04 | 90  0.19377  2.44616e-04
 91  0.61700 -7.74641e-05 | 92 -0.79051 -4.03325e-04 | 93  2.90482 -5.04380e-04
 94  0.66410 -3.47713e-04 | 95  3.65752 -1.11322e-03 | 96  0.28732 -7.36111e-05
 97 -1.63754 -2.01522e-04 | 98 -1.52286  4.08031e-04 | 99  1.30825 -3.24176e-04
100 -0.27559 -2.04815e-05 |101 -2.41172  1.42437e-03 |102 -0.92572  3.56617e-05
103  0.28447 -2.39809e-04 |104  1.01638 -1.94201e-04 |105 -0.12464  4.49410e-04
106 -0.06146  5.36229e-04 |107 -1.83745 -2.60400e-04 |108  0.63723 -6.48465e-04
109  3.10061 -7.87230e-04 |110 -1.03079 -8.65615e-04 |111 -0.00079 -1.09430e-04
112 -0.31906  6.45985e-04 |113  1.55021 -6.28658e-04 |114  0.18390 -9.94790e-04
115  2.15603 -1.97306e-03 |116 -3.09904 -5.87989e-05 |117  4.00375 -8.09679e-04
118 -0.77115 -2.98119e-04 |119 -0.81220 -1.01843e-03 |120  1.15420  6.37066e-04
121  2.43234 -1.20917e-04 |122  2.27709 -9.06868e-04 |123  1.27144  6.80405e-04
124 -0.08934 -6.99430e-04 |125 -1.61817 -1.87406e-04 |126 -0.37644 -1.44921e-03
127 -1.17644 -1.76177e-05 |128 -2.20056 -2.02857e-04 |129  2.28949  7.55107e-04
130 -1.27945 -2.78549e-04 |131  3.48354 -8.54646e-04 |132  1.60831  9.53181e-04
133  1.04288  3.73212e-04 |134 -1.38384  4.85329e-04 |135 -1.51400  3.16393e-04
136 -2.82189  6.85293e-04 |137 -0.26641  4.67316e-04 |138  1.30043 -2.60706e-04
139  0.32025  1.13218e-03 |140 -1.32643  1.16698e-03 |141 -1.94600 -4.59271e-05
142  0.66611  2.66112e-04 |143 -1.93507  9.86524e-04 |144  1.35187 -1.78102e-04
145  1.42692 -1.87592e-03 |146 -0.83500  7.56113e-04 |147 -3.55942  1.71308e-03
148  0.56426 -1.13115e-03 |149 -1.91568  1.39993e-03 |150  0.44789  2.32522e-04
151 -2.11943  3.70017e-04 |152 -1.80091  5.76383e-05 |153  1.95973  5.66867e-04
154 -1.16080  2.59320e-05 |155  1.82904 -3.85394e-04 |156  1.54564 -3.30002e-04
157  2.87353 -2.05011e-04 |158  1.00202 -1.80502e-04 |159 -0.69986 -9.61430e-05
160  3.76117 -6.20149e-04 |161 -1.57409  9.81378e-04 |162  2.23180  1.65127e-04
163  1.22004 -1.93355e-04 |164 -0.22342 -4.56053e-04 |165 -0.36892 -5.84724e-04
166  2.24503  2.19461e-04 |167 -0.11595  3.64225e-04 |168 -2.75217 -4.01704e-04
169 -0.95687  2.46414e-04 |170  2.79349  1.82214e-04 |171  3.38615 -9.30472e-04
172  1.31536 -8.42453e-04 |173 -0.70155  8.12876e-04 |174  1.33026 -6.30631e-04
175  0.72027 -1.17055e-04 |176 -0.31973 -5.87002e-06 |177 -0.41429  4.45541e-04
